First Name,Last Name,Team,Position,Height(inches),Weight(pounds),Age
Joe,Blanton,OAK,Starting Pitcher,75,225,26.22
Dan,Haren,OAK,Starting Pitcher,77,220,26.45
Joe,Kennedy,OAK,Starting Pitcher,76,237,27.77
Esteban,Loaiza,OAK,Starting Pitcher,75,215,35.16
Antonio,Perez,OAK,Third Baseman,71,170,27.09
Eric,Chavez,OAK,Third Baseman,73,206,29.23
Ryan,Budde,PHI,Catcher,71,200,27.54
Carlos,Ruiz,PHI,Catcher,72,170,28.1
Rod,Barajas,PHI,Catcher,74,220,31.49
Chris,Coste,PHI,Catcher,73,200,34.07
Greg,Dobbs,PHI,Designated Hitter,73,205,28.66
Ryan,Howard,PHI,First Baseman,76,230,27.28
Wes,Helms,PHI,First Baseman,76,231,30.8
Michael,Bourn,PHI,Outfielder,71,180,24.18
Shane,Victorino,PHI,Outfielder,69,160,26.25
Chris,Roberson,PHI,Outfielder,74,180,27.52
Jayson,Werth,PHI,Outfielder,77,215,27.78
Aaron,Rowand,PHI,Outfielder,72,205,29.5
Pat,Burrell,PHI,Outfielder,76,223,30.39
Fabio,Castro,PHI,Relief Pitcher,68,150,22.11
Anderson,Garcia,PHI,Relief Pitcher,74,170,25.94
Ryan,Madson,PHI,Relief Pitcher,78,190,26.51
Matt,Smith,PHI,Relief Pitcher,77,225,27.71
Jim,Ed Warden,PHI,Relief Pitcher,79,190,27.82
Eude,Brito,PHI,Relief Pitcher,71,160,28.53
Brian,Sanches,PHI,Relief Pitcher,72,190,28.56
Geoff,Geary,PHI,Relief Pitcher,72,167,30.51
Clay,Condrey,PHI,Relief Pitcher,75,195,31.28
Antonio,Alfonseca,PHI,Relief Pitcher,77,250,34.87
Tom,Gordon,PHI,Relief Pitcher,70,190,39.28
Danny,Sandoval,PHI,Second Baseman,71,192,27.9
Chase,Utley,PHI,Second Baseman,73,183,28.2
Jimmy,Rollins,PHI,Shortstop,68,167,28.26
Scott,Mathieson,PHI,Starting Pitcher,75,190,23.01
Cole,Hamels,PHI,Starting Pitcher,75,175,23.18
Alfredo,Simon,PHI,Starting Pitcher,76,170,25.81
Brett,Myers,PHI,Starting Pitcher,76,223,26.54
Adam,Eaton,PHI,Starting Pitcher,74,196,29.27
Freddy,Garcia,PHI,Starting Pitcher,76,240,31.72
Jon,Lieber,PHI,Starting Pitcher,74,230,36.91
Jamie,Moyer,PHI,Starting Pitcher,72,175,44.28
Abraham,Nunez,PHI,Third Baseman,71,190,30.96
Ronny,Paulino,PIT,Catcher,75,215,25.86
Humberto,Cota,PIT,Catcher,72,210,28.06
Ryan,Doumit,PIT,First Baseman,72,200,25.91
Brad,Eldred,PIT,First Baseman,77,245,26.63
Adam,LaRoche,PIT,First Baseman,75,180,27.32
Nate,McLouth,PIT,Outfielder,71,186,25.34
Rajai,Davis,PIT,Outfielder,71,197,26.36
Jose,Bautista,PIT,Outfielder,72,192,26.36
Chris,Duffy,PIT,Outfielder,70,170,26.86
Xavier,Nady,PIT,Outfielder,74,205,28.29
Jason,Bay,PIT,Outfielder,74,200,28.44
Jody,Gerut,PIT,Outfielder,72,190,29.45
Matt,Capps,PIT,Relief Pitcher,75,238,23.49
Brian,Rogers,PIT,Relief Pitcher,76,190,24.62
Josh,Sharpless,PIT,Relief Pitcher,77,234,26.09
Bryan,Bullington,PIT,Relief Pitcher,76,222,26.41
Jonah,Bayliss,PIT,Relief Pitcher,74,200,26.55
John,Grabow,PIT,Relief Pitcher,74,210,28.32
Juan,Perez,PIT,Relief Pitcher,72,170,28.49
Damaso,Marte,PIT,Relief Pitcher,74,200,32.04
Marty,McLeary,PIT,Relief Pitcher,77,230,32.34
Salomon,Torres,PIT,Relief Pitcher,71,210,34.97
Jose,Castillo,PIT,Second Baseman,73,200,25.95
Jack,Wilson,PIT,Shortstop,72,192,29.17
Zach,Duke,PIT,Starting Pitcher,74,207,23.87
Sean,Burnett,PIT,Starting Pitcher,71,190,24.45
Tom,Gorzelanny,PIT,Starting Pitcher,74,207,24.64
Paul,Maholm,PIT,Starting Pitcher,74,225,24.68
Josh,Shortslef,PIT,Starting Pitcher,76,220,25.08
Ian,Snell,PIT,Starting Pitcher,71,170,25.33
Yoslan,Herrera,PIT,Starting Pitcher,74,200,25.84
Shane,Youman,PIT,Starting Pitcher,76,219,27.39
Tony,Armas,PIT,Starting Pitcher,75,225,28.84
Shawn,Chacon,PIT,Starting Pitcher,75,212,29.19
Freddy,Sanchez,PIT,Third Baseman,70,192,29.19
Rob,Bowen,SD,Catcher,75,216,26.01
Josh,Bard,SD,Catcher,75,215,28.92
Kevin,Kouzmanoff,SD,Designated Hitter,73,200,25.6
Adrian,Gonzalez,SD,First Baseman,74,220,24.81
Paul,McAnulty,SD,Outfielder,70,220,26.01
Jack,Cust,SD,Outfielder,73,231,28.12
Terrmel,Sledge,SD,Outfielder,72,185,29.95
Russell,Branyan,SD,Outfielder,75,195,31.2
Jose,Cruz,SD,Outfielder,72,210,32.87
Mike,Cameron,SD,Outfielder,74,200,34.14
Brian,Giles,SD,Outfielder,70,205,36.11
Cla,Meredith,SD,Relief Pitcher,73,185,23.74
Ryan,Ketchner,SD,Relief Pitcher,73,190,24.87
Andrew,Brown,SD,Relief Pitcher,78,230,26.03
Royce,Ring,SD,Relief Pitcher,72,220,26.19
Justin,Hampson,SD,Relief Pitcher,73,200,26.77
Kevin,Cameron,SD,Relief Pitcher,73,180,27.21
Mike,Adams,SD,Relief Pitcher,77,190,28.59
Heath,Bell,SD,Relief Pitcher,74,244,29.42
Scott,Linebrink,SD,Relief Pitcher,75,208,30.57
Scott,Strickland,SD,Relief Pitcher,71,180,30.84
Scott,Cassidy,SD,Relief Pitcher,74,170,31.41
Trevor,Hoffman,SD,Relief Pitcher,72,215,39.38
Doug,Brocail,SD,Relief Pitcher,77,235,39.79
Marcus,Giles,SD,Second Baseman,68,180,28.79
Todd,Walker,SD,Second Baseman,72,185,33.77
Khalil,Greene,SD,Shortstop,71,210,27.36
Geoff,Blum,SD,Shortstop,75,200,33.85
Jake,Peavy,SD,Starting Pitcher,73,180,25.75
Mike,Thompson,SD,Starting Pitcher,76,200,26.31
Clay,Hensley,SD,Starting Pitcher,71,190,27.5
Chris,Young,SD,Starting Pitcher,82,250,27.77
Greg,Maddux,SD,Starting Pitcher,72,185,40.88
Rene,Rivera,SEA,Catcher,70,190,23.58
Kenji,Johjima,SEA,Catcher,72,200,30.73
Ben,Broussard,SEA,First Baseman,74,220,30.43
Richie,Sexson,SEA,First Baseman,80,237,32.17
Adam,Jones,SEA,Outfielder,74,200,21.58
Mike,Morse,SEA,Outfielder,76,220,24.94
Jeremy,Reed,SEA,Outfielder,72,185,25.71
Willie,Bloomquist,SEA,Outfielder,71,185,29.26
Jose,Guillen,SEA,Outfielder,71,190,30.79
Ichiro,Suzuki,SEA,Outfielder,69,172,33.36
Raul,Ibanez,SEA,Outfielder,74,200,34.74
Eric,O'Flaherty,SEA,Relief Pitcher,74,195,22.06
Cesar,Jimenez,SEA,Relief Pitcher,71,180,22.3
Mark,Lowe,SEA,Relief Pitcher,75,190,23.73
Jake,Woods,SEA,Relief Pitcher,73,190,25.49
Jon,Huber,SEA,Relief Pitcher,74,195,25.65
Sean,Green,SEA,Relief Pitcher,78,230,27.86
Chris,Reitsma,SEA,Relief Pitcher,77,235,29.16
Julio,Mateo,SEA,Relief Pitcher,72,177,29.58
George,Sherrill,SEA,Relief Pitcher,72,210,29.86
J.J.,Putz,SEA,Relief Pitcher,77,220,30.02
Jose,Lopez,SEA,Second Baseman,74,170,23.27
Jose,Vidro,SEA,Second Baseman,71,193,32.51
Oswaldo,Navarro,SEA,Shortstop,72,150,22.41
Yuniesky,Betancourt,SEA,Shortstop,70,190,25.08
Felix,Hernandez,SEA,Starting Pitcher,75,225,20.9
Ryan,Feierabend,SEA,Starting Pitcher,75,190,21.52
Sean,White,SEA,Starting Pitcher,76,195,25.85
Cha,Baek,SEA,Starting Pitcher,76,190,26.75
Horacio,Ramirez,SEA,Starting Pitcher,73,219,27.27
Jeff,Weaver,SEA,Starting Pitcher,77,200,30.52
Jarrod,Washburn,SEA,Starting Pitcher,73,195,32.55
Miguel,Batista,SEA,Starting Pitcher,73,197,36.03
Adrian,Beltre,SEA,Third Baseman,71,220,27.9
Eliezer,Alfonzo,SF,Catcher,72,223,28.06
Bengie,Molina,SF,Catcher,71,220,32.61
Lance,Niekro,SF,First Baseman,75,210,28.08
Mark,Sweeney,SF,First Baseman,73,215,37.34
Fred,Lewis,SF,Outfielder,74,190,26.22
Todd,Linden,SF,Outfielder,75,210,26.67
Jason,Ellison,SF,Outfielder,70,180,28.91
Randy,Winn,SF,Outfielder,74,197,32.73
Dave,Roberts,SF,Outfielder,70,180,34.75
Ryan,Klesko,SF,Outfielder,75,220,35.72
Barry,Bonds,SF,Outfielder,74,228,42.6
Brian,Wilson,SF,Relief Pitcher,73,205,24.96
Merkin,Valdez,SF,Relief Pitcher,77,208,25.3
Billy,Sadler,SF,Relief Pitcher,72,190,25.44
Pat,Misch,SF,Relief Pitcher,74,170,25.53
Kevin,Correia,SF,Relief Pitcher,75,200,26.52
Scott,Munter,SF,Relief Pitcher,78,240,26.98
Brad,Hennessey,SF,Relief Pitcher,74,185,27.06
Vinnie,Chulk,SF,Relief Pitcher,74,195,28.2
Jack,Taschner,SF,Relief Pitcher,75,207,28.86
Armando,Benitez,SF,Relief Pitcher,76,229,34.32
Steve,Kline,SF,Relief Pitcher,73,215,34.52
Kevin,Frandsen,SF,Second Baseman,72,175,24.77
Ray,Durham,SF,Second Baseman,68,196,35.25
Omar,Vizquel,SF,Shortstop,69,175,39.85
Kelyn,Acosta,SF,Starting Pitcher,73,204,21.85
Matt,Cain,SF,Starting Pitcher,75,216,22.41
Jonathan,Sanchez,SF,Starting Pitcher,74,165,24.28
Noah,Lowry,SF,Starting Pitcher,74,210,26.39
Barry,Zito,SF,Starting Pitcher,76,215,28.8
Matt,Morris,SF,Starting Pitcher,77,220,32.56
Russ,Ortiz,SF,Starting Pitcher,73,208,32.74
Pedro,Feliz,SF,Third Baseman,73,205,31.84
Rich,Aurilia,SF,Third Baseman,73,189,35.49
Yadier,Molina,STL,Catcher,71,225,24.63
Gary,Bennett,STL,Catcher,72,208,34.87
Albert,Pujols,STL,First Baseman,75,225,27.12
John,Nelson,STL,First Baseman,73,190,27.99
Chris,Duncan,STL,Outfielder,77,210,25.82
Skip,Schumaker,STL,Outfielder,70,175,27.07
John,Rodriguez,STL,Outfielder,72,205,29.11
Juan,Encarnacion,STL,Outfielder,75,215,30.98
Jim,Edmonds,STL,Outfielder,73,212,36.68
So,Taguchi,STL,Outfielder,70,163,37.66
Brad,Thompson,STL,Relief Pitcher,73,190,25.08
Chris,Narveson,STL,Relief Pitcher,75,205,25.19
Tyler,Johnson,STL,Relief Pitcher,74,180,25.73
Josh,Kinney,STL,Relief Pitcher,73,195,27.92
Josh,Hancock,STL,Relief Pitcher,75,205,28.89
Randy,Keisler,STL,Relief Pitcher,75,190,31.01
Randy,Flores,STL,Relief Pitcher,72,180,31.58
Braden,Looper,STL,Relief Pitcher,75,220,32.34
Jason,Isringhausen,STL,Relief Pitcher,75,230,34.48
Ricardo,Rincon,STL,Relief Pitcher,69,190,36.88
Russ,Springer,STL,Relief Pitcher,76,211,38.31
Aaron,Miles,STL,Second Baseman,67,180,30.21
Adam,Kennedy,STL,Second Baseman,73,185,31.14
David,Eckstein,STL,Shortstop,67,165,32.11
Anthony,Reyes,STL,Starting Pitcher,74,215,25.37
Adam,Wainwright,STL,Starting Pitcher,79,205,25.5
Mark,Mulder,STL,Starting Pitcher,78,208,29.57
Kip,Wells,STL,Starting Pitcher,75,200,29.86
Chris,Carpenter,STL,Starting Pitcher,78,230,31.84
Ryan,Franklin,STL,Starting Pitcher,75,180,33.99
Scott,Rolen,STL,Third Baseman,76,240,31.91
Scott,Spiezio,STL,Third Baseman,74,220,34.44
Dioner,Navarro,TB,Catcher,70,190,23.06
Shawn,Riggans,TB,Catcher,74,190,26.6
Josh,Paul,TB,Catcher,73,200,31.78
Jonny,Gomes,TB,Designated Hitter,73,205,26.27
Ty,Wigginton,TB,First Baseman,72,200,29.39
Delmon,Young,TB,Outfielder,75,205,21.46
Elijah,Dukes,TB,Outfielder,74,220,22.68
Rocco,Baldelli,TB,Outfielder,76,187,25.43
Carl,Crawford,TB,Outfielder,74,219,25.57
Greg,Norton,TB,Outfielder,73,200,34.65
Jae-Kuk,Ryu,TB,Relief Pitcher,75,220,23.75
Seth,McClung,TB,Relief Pitcher,78,235,26.06
Chad,Orvella,TB,Relief Pitcher,71,190,26.41
Jeff,Ridgway,TB,Relief Pitcher,75,180,26.54
Ruddy,Lugo,TB,Relief Pitcher,70,205,26.77
Jon,Switzer,TB,Relief Pitcher,75,191,27.55
Juan,Salas,TB,Relief Pitcher,74,190,28.31
Scott,Dohmann,TB,Relief Pitcher,73,181,29.04
Shawn,Camp,TB,Relief Pitcher,73,200,31.28
Dan,Miceli,TB,Relief Pitcher,72,215,36.47
Jorge,Cantu,TB,Second Baseman,73,184,25.08
Brendan,Harris,TB,Second Baseman,73,200,26.51
Ben,Zobrist,TB,Shortstop,75,200,25.76
Scott,Kazmir,TB,Starting Pitcher,72,170,23.1
Edwin,Jackson,TB,Starting Pitcher,75,190,23.47
J.P.,Howell,TB,Starting Pitcher,72,175,23.85
Jason,Hammel,TB,Starting Pitcher,78,200,24.49
James,Shields,TB,Starting Pitcher,76,214,25.19
Brian,Stokes,TB,Starting Pitcher,73,200,27.48
Tim,Corcoran,TB,Starting Pitcher,74,205,28.88
Casey,Fossum,TB,Starting Pitcher,73,160,29.14
Jae,Seo,TB,Starting Pitcher,73,215,29.77
B.J.,Upton,TB,Third Baseman,75,180,22.52
Chris,Stewart,TEX,Catcher,76,205,25.03
Guillermo,Quiroz,TEX,Catcher,73,202,25.25
Gerald,Laird,TEX,Catcher,74,220,27.3
Miguel,Ojeda,TEX,Catcher,74,190,32.08
Jason,Botts,TEX,Designated Hitter,77,250,26.6
Mark,Teixeira,TEX,First Baseman,75,220,26.89
Nelson,Cruz,TEX,Outfielder,75,175,26.66
Marlon,Byrd,TEX,Outfielder,72,229,29.5
Brad,Wilkerson,TEX,Outfielder,72,206,29.75
Frank,Catalanotto,TEX,Outfielder,71,195,32.84
Sammy,Sosa,TEX,Outfielder,72,220,38.3
Kenny,Lofton,TEX,Outfielder,72,180,39.75
Scott,Feldman,TEX,Relief Pitcher,77,210,24.06
Wes,Littleton,TEX,Relief Pitcher,74,210,24.49
Josh,Rupe,TEX,Relief Pitcher,74,200,24.53
Francisco,Cruceta,TEX,Relief Pitcher,74,180,25.66
C.J.,Wilson,TEX,Relief Pitcher,74,200,26.28
Frank,Francisco,TEX,Relief Pitcher,74,180,27.47
Joaquin,Benoit,TEX,Relief Pitcher,75,220,29.6
Rick,Bauer,TEX,Relief Pitcher,78,223,30.14
Eric,Gagne,TEX,Relief Pitcher,74,234,31.15
Akinori,Otsuka,TEX,Relief Pitcher,72,200,35.13
Ron,Mahay,TEX,Relief Pitcher,74,185,35.67
Ian,Kinsler,TEX,Second Baseman,72,175,24.69
Joaquin,Arias,TEX,Shortstop,73,160,22.44
Michael,Young,TEX,Shortstop,73,190,30.36
Brandon,McCarthy,TEX,Starting Pitcher,79,190,23.65
Edinson,Volquez,TEX,Starting Pitcher,73,190,23.66
Robinson,Tejeda,TEX,Starting Pitcher,75,188,24.94
A.J.,Murray,TEX,Starting Pitcher,75,200,24.96
John,Koronka,TEX,Starting Pitcher,73,180,26.66
John,Rheinecker,TEX,Starting Pitcher,74,230,27.76
Vicente,Padilla,TEX,Starting Pitcher,74,219,29.42
Kevin,Millwood,TEX,Starting Pitcher,76,235,32.18
Hank,Blalock,TEX,Third Baseman,73,200,26.27
Jason,Phillips,TOR,Catcher,73,177,30.42
Gregg,Zaun,TOR,Catcher,70,190,35.88
Adam,Lind,TOR,Designated Hitter,74,195,23.62
Frank,Thomas,TOR,Designated Hitter,77,275,38.76
Lyle,Overbay,TOR,First Baseman,74,227,30.09
Alex,Rios,TOR,Outfielder,77,194,26.03
Vernon,Wells,TOR,Outfielder,73,225,28.23
Reed,Johnson,TOR,Outfielder,70,180,30.23
Davis,Romero,TOR,Relief Pitcher,70,155,23.92
Brandon,League,TOR,Relief Pitcher,75,192,23.96
Jean,Machi,TOR,Relief Pitcher,72,160,24.08
Dustin,McGowan,TOR,Relief Pitcher,75,220,24.94
Jeremy,Accardo,TOR,Relief Pitcher,74,190,25.23
Tracy,Thorpe,TOR,Relief Pitcher,76,250,26.21
Francisco,Rosario,TOR,Relief Pitcher,72,197,26.42
Matt,Roney,TOR,Relief Pitcher,75,245,27.14
Brian,Tallet,TOR,Relief Pitcher,79,208,29.44
Jason,Frasor,TOR,Relief Pitcher,70,170,29.56
Scott,Downs,TOR,Relief Pitcher,74,190,30.95
B.J.,Ryan,TOR,Relief Pitcher,78,249,31.17
Aaron,Hill,TOR,Second Baseman,71,195,24.94
Russ,Adams,TOR,Second Baseman,73,180,26.5
Jason,Smith,TOR,Second Baseman,75,199,29.6
John,McDonald,TOR,Shortstop,71,175,32.43
Royce,Clayton,TOR,Shortstop,72,185,37.16
Shaun,Marcum,TOR,Starting Pitcher,72,180,25.21
Casey,Janssen,TOR,Starting Pitcher,76,205,25.45
Gustavo,Chacin,TOR,Starting Pitcher,71,193,26.24
Roy,Halladay,TOR,Starting Pitcher,78,230,29.8
A.J.,Burnett,TOR,Starting Pitcher,76,230,30.15
Tomo,Ohka,TOR,Starting Pitcher,73,200,30.95
John,Thomson,TOR,Starting Pitcher,75,220,33.41
John,Hattig,TOR,Third Baseman,74,210,27.01
Troy,Glaus,TOR,Third Baseman,77,240,30.57
Jesus,Flores,WAS,Catcher,73,180,22.34
Brian,Schneider,WAS,Catcher,73,196,30.26
Larry,Broadway,WAS,First Baseman,76,230,26.2
Nick,Johnson,WAS,First Baseman,75,224,28.45
Kory,Casto,WAS,Outfielder,73,200,25.23
Chris,Snelling,WAS,Outfielder,70,165,25.24
Austin,Kearns,WAS,Outfielder,75,220,26.78
Nook,Logan,WAS,Outfielder,74,180,27.26
Mike,Restovich,WAS,Outfielder,76,257,28.16
Ryan,Church,WAS,Outfielder,73,190,28.38
Alex,Escobar,WAS,Outfielder,73,190,28.48
Emiliano,Fruto,WAS,Relief Pitcher,75,235,22.73
Ryan,Wagner,WAS,Relief Pitcher,76,210,24.63
Chad,Cordero,WAS,Relief Pitcher,72,198,24.95
Jerome,Williams,WAS,Relief Pitcher,75,246,25.24
Beltran,Perez,WAS,Relief Pitcher,74,180,25.35
Brett,Campbell,WAS,Relief Pitcher,72,170,25.37
Jason,Bergmann,WAS,Relief Pitcher,76,190,25.43
Levale,Speigner,WAS,Relief Pitcher,71,170,26.43
Jon,Rauch,WAS,Relief Pitcher,83,260,28.42
Chris,Schroder,WAS,Relief Pitcher,75,210,28.53
Luis,Ayala,WAS,Relief Pitcher,74,186,29.13
Saul,Rivera,WAS,Relief Pitcher,71,150,29.23
Chris,Booker,WAS,Relief Pitcher,75,230,30.22
Micah,Bowie,WAS,Relief Pitcher,76,203,32.3
Bernie,Castro,WAS,Second Baseman,70,160,27.63
Josh,Wilson,WAS,Shortstop,73,178,25.93
Felipe,Lopez,WAS,Shortstop,73,185,26.8
Cristian,Guzman,WAS,Shortstop,72,205,28.94
Joel,Hanrahan,WAS,Starting Pitcher,75,215,25.4
Shawn,Hill,WAS,Starting Pitcher,74,185,25.84
Mike,O'Connor,WAS,Starting Pitcher,75,170,26.54
Billy,Traber,WAS,Starting Pitcher,77,205,27.45
Tim,Redding,WAS,Starting Pitcher,72,200,29.05
John,Patterson,WAS,Starting Pitcher,77,208,29.08
Ryan,Zimmerman,WAS,Third Baseman,75,210,22.42
